"College","Type","Pell_Share","State","Year"
"California Polytechnic State University, San Luis Obispo","Public",14,"Calif.",2011
"Calvin University","Private",-1,"Mich.",2011
"Carnegie Mellon University","Private",15,"Pa.",2011
"Colby College","Private",18,"Maine",2011
"Denison University","Private",9,"Ohio",2011
"Emerson College","Private",14,"Mass.",2011
"Georgetown University","Private",14,"D.C.",2011
"Miami University","Public",10,"Ohio",2011
"Olin College of Engineering","Private",14,"Mass.",2011
"Pitzer College","Private",14,"Calif.",2011
"Purdue University","Public",7,"Ind.",2011
"Texas Christian University","Private",14,"Texas",2011
"Union College","Private",11,"N.Y.",2011
"University of Chicago","Private",13,"Ill.",2011
"University of Colorado, Boulder","Public",12,"Colo.",2011
"University of Miami","Private",6,"Fla.",2011
"Westmont College","Private",5,"Calif.",2011
"Clemson University","Public",9,"S.C.",2011
"Colgate University","Private",15,"N.Y.",2011
"College of the Holy Cross","Private",6,"Mass.",2011
"Colorado School of Mines","Public",7,"Colo.",2011
"Creighton University","Private",5,"Neb.",2011
"Harvey Mudd College","Private",14,"Calif.",2011
"Northeastern University","Private",13,"Mass.",2011
"Pennsylvania State University","Public",10,"Pa.",2011
"University of Virginia","Public",13,"Va.",2011
"Boston College","Private",8,"Mass.",2011
"Brigham Young University","Private",8,"Utah",2011
"Duke University","Private",11,"N.C.",2011
"Georgia Institute of Technology","Public",7,"Ga.",2011
"Rose-Hulman Institute of Technology","Private",3,"Ind.",2011
"Skidmore College","Private",7,"N.Y.",2011
"University of Notre Dame","Private",12,"Ind.",2011
"Villanova University","Private",13,"Pa.",2011
"Auburn University","Public",8,"Ala.",2011
"Furman University","Private",6,"S.C.",2011
"Reed College","Private",4,"Ore.",2011
"Tufts University","Private",12,"Mass.",2011
"William & Mary","Public",12,"Va.",2011
"Yeshiva University","Private",2,"N.Y.",2011
"Bucknell University","Private",9,"Pa.",2011
"California Institute of Technology","Private",11,"Calif.",2011
"Kenyon College","Private",10,"Ohio",2011
"Lafayette College","Private",12,"Pa.",2011
"Loyola Marymount University","Private",2,"Calif.",2011
"Wake Forest University","Private",6,"N.C.",2011
"Washington and Lee University","Private",9,"Va.",2011
"Worcester Polytechnic Institute","Private",5,"Mass.",2011
"Elon University","Private",8,"N.C.",2011
"Santa Clara University","Private",2,"Calif.",2011
"Scripps College","Private",3,"Calif.",2011
"Southern Methodist University","Private",3,"Texas",2011
"Bates College","Private",3,"Maine",2011
"Fairfield University","Private",-4,"Conn.",2011
"Oberlin College","Private",6,"Ohio",2011
"Tulane University","Private",3,"La.",2011
