"Name","State","Type","Freshmen_Pell_share","Ranking","Type_Of_Ranking"
"Stonehill College","MA","Private",15,"226","Times"
"Endicott College","MA","Private",15,"223","Times"
"Bentley University","MA","Private",15,"220","Times"
"Butler University","IN","Private",15,"221","Times"
"Quinnipiac University","CT","Private",15,"224","Times"
"University of Vermont","VT","Public",15,"229","Times"
"Pitzer College","CA","Private",14,"240","Times"
"Union College","NY","Private",14,"243","Times"
"Westmont College","CA","Private",14,"247","Times"
"Colby College","ME","Private",14,"234","Times"
"Denison University","OH","Private",14,"235","Times"
"Calvin University","MI","Private",14,"232","Times"
"Emerson College","MA","Private",14,"236","Times"
"Georgetown University","DC","Private",14,"237","Times"
"Carnegie Mellon University","PA","Private",14,"233","Times"
"Brown University","RI","Private",14,"230","Times"
"University of Chicago","IL","Private",14,"244","Times"
"Texas Christian University","TX","Private",14,"242","Times"
"University of Miami","FL","Private",14,"246","Times"
"University of Colorado, Boulder","CO","Public",14,"245","Times"
"Harvey Mudd College","CA","Private",13,"253","Times"
"College of the Holy Cross","MA","Private",13,"250","Times"
"Colgate University","NY","Private",13,"249","Times"
"Creighton University","NE","Private",13,"252","Times"
"Colorado School of Mines","CO","Public",13,"251","Times"
"Northeastern University","MA","Private",13,"254","Times"
"Clemson University","SC","Public",13,"248","Times"
"Rose-Hulman Institute of Technology","IN","Private",12,"261","Times"
"Skidmore College","NY","Private",12,"262","Times"
"Duke University","NC","Private",12,"259","Times"
"Villanova University","PA","Private",12,"264","Times"
"University of Notre Dame","IN","Private",12,"263","Times"
"Boston College","MA","Private",12,"257","Times"
"Brigham Young University","UT","Private",12,"258","Times"
"Reed College","OR","Private",11,"267","Times"
"Furman University","SC","Private",11,"266","Times"
"Yeshiva University","NY","Private",11,"270","Times"
"William & Mary","VA","Public",11,"269","Times"
"Tufts University","MA","Private",11,"268","Times"
"Auburn University","AK","Public",11,"265","Times"
"California Institute of Technology","CA","Private",10,"272","Times"
"Kenyon College","OH","Private",10,"273","Times"
"Washington and Lee University","VA","Private",10,"277","Times"
"Lafayette College","PA","Private",10,"274","Times"
"Bucknell University","PA","Private",10,"271","Times"
"Worcester Polytechnic Institute","MA","Private",10,"278","Times"
"Loyola Marymount University","CA","Private",10,"275","Times"
"Wake Forest University","NC","Private",10,"276","Times"
"Scripps College","CA","Private",9,"281","Times"
"Santa Clara University","CA","Private",9,"280","Times"
"Southern Methodist University","TX","Private",9,"282","Times"
"Elon University","NC","Private",9,"279","Times"
"Bates College","ME","Private",8,"283","Times"
"Oberlin College","OH","Private",8,"285","Times"
"Fairfield University","CT","Private",8,"284","Times"
"Berea College","KY","Private",94,"1","Times"
"CUNY Baruch College","NY","Public",56,"3","Times"
"College of Mount St. Vincent","NY","Private",52,"4","Times"
"University of New Mexico","NM","Public",42,"10","Times"
"University of California, Irvine","CA","Public",39,"20","Times"
"University of Montana","MT","Public",32,"39","Times"
"University of California, Davis","CA","Public",30,"47","Times"
"Cooper Union","NY","Private",29,"48","Times"
"Louisiana State University","LA","Public",29,"50","Times"
"University of Nevada, Reno","NV","Public",29,"53","Times"
"University of Texas, Austin","TX","Public",29,"55","Times"
"Hobart and William Smith Colleges","NY","Private",28,"58","Times"
"University of California, Santa Barbara","CA","Public",28,"59","Times"
"Rutgers University","NJ","Public",26,"66","Times"
"University of Nebraska, Lincoln","NE","Public",26,"70","Times"
"Franklin & Marshall College","PA","Private",25,"72","Times"
"University of California, Berkeley","CA","Public",25,"80","Times"
"University of Alabama, Huntsville","AK","Public",24,"85","Times"
"University of California, San Diego","CA","Public",24,"86","Times"
"University of Texas, Dallas","TX","Public",24,"89","Times"
"College of Wooster","OH","Private",23,"92","Times"
"University of Hawaii, Manoa","HI","Public",23,"94","Times"
"University of Oklahoma","OK","Public",23,"95","Times"
"University of Tennessee","TN","Public",23,"97","Times"
"University of California, Los Angeles","CA","Public",22,"109","Times"
"Columbia University","NY","Private",21,"118","Times"
"University of Missouri","MO","Public",21,"128","Times"
"University of New Hampshire","NH","Public",21,"129","Times"
"University of North Carolina, Chapel Hill","NC","Public",21,"130","Times"
"Texas A&M University","TX","Public",20,"145","Times"
"University of Massachusetts, Amherst","MA","Public",20,"147","Times"
"Indiana University, Bloomington","IN","Public",19,"153","Times"
"St. Louis University","MO","Private",19,"159","Times"
"University of Alabama","AK","Public",19,"160","Times"
"University of South Carolina","SC","Public",19,"163","Times"
"University of the South","TN","Private",19,"164","Times"
"College of New Jersey","NJ","Public",18,"168","Times"
"North Carolina State University","NC","Public",18,"172","Times"
"University of Minnesota","MN","Public",18,"178","Times"
"University of Washington","WA","Public",18,"181","Times"
"Ohio State University","OH","Public",17,"198","Times"
"University of Pittsburgh","PA","Public",17,"203","Times"
"University of Wisconsin, Madison","WI","Public",17,"205","Times"
"University of Michigan","MI","Public",16,"216","Times"
"Virginia Polytechnic Institute","VA","Public",16,"217","Times"
"University of Maryland, College Park","MD","Public",15,"228","Times"
"California Polytechnic State University, San Luis Obispo","CA","Public",14,"231","Times"
"Miami University","OH","Public",14,"238","Times"
"Olin College of Engineering","MA","Private",14,"239","Times"
"Purdue University","IN","Public",14,"241","Times"
"Pennsylvania State University","PA","Public",13,"255","Times"
"University of Virginia","VA","Public",13,"256","Times"
"Georgia Institute of Technology","GA","Public",12,"260","Times"
"Tulane University","LA","Private",8,"286","Times"
