"Pell_share_rank","College","State","Type","Freshmen_Pell_share","Pell_change_since_2011","Total_undergraduates","Endowment_per_student","Net_price,_mid-income","Pell_In_2011","Total_Pell_Students","Endowment","Endowment_Per_Pell_Student"
81,"University of South Dakota","S.D.","Public",24,-9,7100,57000,19100,15,1704,404700000,237500
81,"University of Texas, Dallas","Texas","Public",24,-2,21200,40000,15400,22,5088,8.48e+08,166666.666666667
81,"University of Utah","Utah","Public",24,4,24600,61000,7100,28,5904,1500600000,254166.666666667
91,"Claremont McKenna College","Calif.","Private",23,8,1300,991000,15700,31,299,1288300000,4308695.65217391
91,"College of Wooster","Ohio","Private",23,4,1900,213000,17800,27,437,404700000,926086.956521739
91,"St. Mary’s College of Maryland","Md.","Public",23,9,1500,28000,15600,32,345,4.2e+07,121739.130434783
91,"University of Hawaii, Manoa","Hawaii","Public",23,-5,13200,5000,14100,18,3036,6.6e+07,21739.1304347826
91,"University of Oklahoma","Okla.","Public",23,-1,21400,5000,19900,22,4922,1.07e+08,21739.1304347826
91,"University of Rhode Island","R.I.","Public",23,-3,14900,23000,18100,20,3427,342700000,1e+05
91,"University of Tennessee","Tenn.","Public",23,-6,24300,43000,23600,17,5589,1044900000,186956.52173913
91,"West Virginia University","W.Va.","Public",23,-8,20500,37000,13700,15,4715,758500000,160869.565217391
91,"Wheaton College","Mass.","Private",23,1,1700,144000,23600,24,391,244800000,626086.956521739
100,"Centre College","Ky.","Private",22,6,1300,320000,16200,28,286,4.16e+08,1454545.45454545
100,"Grinnell College","Iowa","Private",22,-2,1500,1994000,20100,20,330,2.991e+09,9063636.36363636
100,"Harvard University","Mass.","Private",22,4,8500,6768000,500,26,1870,5.7528e+10,30763636.3636364
100,"Loyola University Chicago","Ill.","Private",22,-7,11600,77000,25500,15,2552,893200000,350000
100,"Milwaukee School of Engineering","Wis.","Private",22,-4,2500,36000,17800,18,550,9e+07,163636.363636364
100,"St. Lawrence University","N.Y.","Private",22,3,2300,179000,21200,25,506,411700000,813636.363636364
100,"St. Olaf College","Minn.","Private",22,5,3000,240000,13700,27,660,7.2e+08,1090909.09090909
100,"Swarthmore College","Pa.","Private",22,8,1400,1920000,11600,30,308,2.688e+09,8727272.72727273
100,"Thomas Aquinas College","Calif.","Private",22,-15,500,58000,19300,7,110,2.9e+07,263636.363636364
100,"University of California, Los Angeles","Calif.","Public",22,-10,31600,93000,10200,12,6952,2938800000,422727.272727273
100,"University of Connecticut","Conn.","Public",22,3,18900,31000,20900,25,4158,585900000,140909.090909091
100,"University of Florida","Fla.","Public",22,-7,34900,68000,5600,15,7678,2373200000,309090.909090909
100,"University of Kentucky","Ky.","Public",22,-3,22200,88000,16400,19,4884,1953600000,4e+05
100,"University of Mississippi","Miss.","Public",22,-8,16200,53000,14700,14,3564,858600000,240909.090909091
100,"University of Tulsa","Okla.","Private",22,1,2900,475000,23700,23,638,1377500000,2159090.90909091
100,"Wellesley College","Mass.","Private",22,3,2300,1244000,10800,25,506,2861200000,5654545.45454545
100,"Wheaton College","Ill.","Private",22,2,2300,279000,19200,24,506,641700000,1268181.81818182
117,"Amherst College","Mass.","Private",21,-2,1700,2133000,7100,19,357,3626100000,10157142.8571429
117,"Columbia University","N.Y.","Private",21,3,8100,1702000,NA,24,1701,13786200000,8104761.9047619
117,"Fordham University","N.Y.","Private",21,2,9400,99000,31300,23,1974,930600000,471428.571428571
117,"Marquette University","Wis.","Private",21,1,8000,114000,22300,22,1680,9.12e+08,542857.142857143
117,"Massachusetts Institute of Technology","Mass.","Private",21,2,4400,6406000,NA,23,924,28186400000,30504761.9047619
117,"Michigan Technological University","Mich.","Public",21,-7,5600,28000,11300,14,1176,156800000,133333.333333333
117,"Pepperdine University","Calif.","Private",21,-10,3500,277000,27700,11,735,969500000,1319047.61904762
117,"Pomona College","Calif.","Private",21,6,1500,1981000,5800,27,315,2971500000,9433333.33333333
117,"Seattle University","Wash.","Private",21,-3,4200,74000,30800,18,882,310800000,352380.952380952
117,"Trinity University","Texas","Private",21,4,2500,695000,9600,25,525,1737500000,3309523.80952381
117,"Truman State University","Mo.","Public",21,1,4400,19000,10900,22,924,83600000,90476.1904761905
117,"University of Missouri","Mo.","Public",21,-1,23400,63000,14100,20,4914,1474200000,3e+05
117,"University of New Hampshire","N.H.","Public",21,-3,11800,40000,17200,18,2478,4.72e+08,190476.19047619
117,"University of North Carolina, Chapel Hill","N.C.","Public",21,1,19400,276000,13500,22,4074,5354400000,1314285.71428571
117,"University of Southern California","Calif.","Private",21,3,19800,382000,18600,24,4158,7563600000,1819047.61904762
117,"Yale University","Conn.","Private",21,8,4700,6772000,4000,29,987,31828400000,32247619.047619
133,"Boston University","Mass.","Private",20,3,16900,158000,15000,23,3380,2670200000,790000
133,"Chapman University","Calif.","Private",20,2,7400,76000,32500,22,1480,562400000,380000
133,"Clark University","Mass.","Private",20,1,2200,214000,20800,21,440,470800000,1070000
133,"Dickinson College","Pa.","Private",20,8,1900,291000,3900,28,380,552900000,1455000
133,"Drake University","Iowa","Private",20,1,2800,1e+05,24800,21,560,2.8e+08,5e+05
133,"Gettysburg College","Pa.","Private",20,7,2500,159000,23400,27,500,397500000,795000
133,"Johns Hopkins University","Md.","Private",20,8,6300,1347000,4100,28,1260,8486100000,6735000
133,"Muhlenberg College","Pa.","Private",20,12,2000,145000,18700,32,400,2.9e+08,725000
133,"Northwestern University","Ill.","Private",20,5,8600,1288000,6900,25,1720,11076800000,6440000
133,"Rensselaer Polytechnic Institute","N.Y.","Private",20,1,6300,156000,24800,21,1260,982800000,780000
133,"Stanford University","Calif.","Private",20,4,6400,5969000,4600,24,1280,38201600000,29845000
133,"Stevens Institute of Technology","N.J.","Private",20,-5,3800,66000,32400,15,760,250800000,330000
133,"Texas A&M University","Texas","Public",20,-3,55600,329000,19700,17,11120,18292400000,1645000
133,"University of Kansas","Kan.","Public",20,-2,19100,132000,17200,18,3820,2521200000,660000
133,"University of Massachusetts, Amherst","Mass.","Public",20,-5,24200,20000,11300,15,4840,4.84e+08,1e+05
133,"Williams College","Mass.","Private",20,-1,2000,1872000,1300,19,400,3.744e+09,9360000
149,"Babson College","Mass.","Private",19,2,2500,244000,19400,21,475,6.1e+08,1284210.52631579
149,"Cedarville University","Ohio","Private",19,2,4000,12000,19700,21,760,4.8e+07,63157.8947368421
149,"Colorado College","Colo.","Private",19,7,2000,421000,17100,26,380,8.42e+08,2215789.47368421
149,"Emory University","Ga.","Private",19,-4,7000,1557000,15500,15,1330,1.0899e+10,8194736.84210526
149,"Indiana University, Bloomington","Ind.","Public",19,-2,33000,50000,11500,17,6270,1.65e+09,263157.894736842
149,"Lehigh University","Pa.","Private",19,3,5200,316000,22100,22,988,1643200000,1663157.89473684
149,"Lewis & Clark College","Ore.","Private",19,-1,1800,157000,28300,18,342,282600000,826315.789473684
149,"Loyola University Maryland","Md.","Private",19,5,3800,78000,24700,24,722,296400000,410526.315789474
149,"Middlebury College","Vt.","Private",19,9,2600,561000,13100,28,494,1458600000,2952631.57894737
149,"Smith College","Mass.","Private",19,-1,2200,1103000,18900,18,418,2426600000,5805263.15789474
149,"St. Louis University","Mo.","Private",19,-2,7700,195000,24100,17,1463,1501500000,1026315.78947368
149,"University of Alabama","Ala.","Public",19,-2,31700,41000,22000,17,6023,1299700000,215789.473684211
149,"University of Pennsylvania","Pa.","Private",19,3,11200,1839000,3300,22,2128,20596800000,9678947.36842105
149,"University of Rochester","N.Y.","Private",19,0,6500,404000,24100,19,1235,2.626e+09,2126315.78947368
149,"University of South Carolina","S.C.","Public",19,-2,27300,27000,20000,17,5187,737100000,142105.263157895
149,"University of the South","Tenn.","Private",19,3,1700,305000,16700,22,323,518500000,1605263.15789474
149,"Vassar College","N.Y.","Private",19,-8,2500,568000,23700,11,475,1.42e+09,2989473.68421053
166,"American University","D.C.","Private",18,3,8000,110000,15200,21,1440,8.8e+08,611111.111111111
