"College","Type","Pell_Share","State","Year"
"university of north dakota","Public",11,"ND",2010
"george washington university","Private",21,"DC",2010
"university of delaware","Public",21,"DE",2010
"whitman college","Private",18,"WA",2010
"haverford college","Private",16,"PA",2010
"taylor university","Private",6,"IN",2010
"rhodes college","Private",16,"TN",2010
"bowdoin college","Private",15,"ME",2010
"gonzaga university","Private",16,"WA",2010
"university of denver","Private",15,"CO",2010
"belmont university","Private",15,"TN",2010
"washington university in st louis","Private",26,"MO",2010
"baylor university","Private",8,"TX",2010
"university of georgia","Public",10,"GA",2010
"sarah lawrence college","Private",12,"NY",2010
"davidson college","Private",17,"NC",2010
"trinity college","Private",17,"CT",2010
"stonehill college","Private",16,"MA",2010
"endicott college","Private",9,"MA",2010
"bentley university","Private",14,"MA",2010
"butler university","Private",9,"IN",2010
"quinnipiac university","Private",14,"CT",2010
"university of vermont","Public",8,"VT",2010
"pitzer college","Private",14,"CA",2010
"union college","Private",11,"NY",2010
"westmont college","Private",5,"CA",2010
"colby college","Private",18,"ME",2010
"denison university","Private",9,"OH",2010
"calvin university","Private",-1,"MI",2010
"emerson college","Private",14,"MA",2010
"georgetown university","Private",14,"DC",2010
"carnegie mellon university","Private",15,"PA",2010
"brown university","Private",11,"RI",2010
"university of chicago","Private",13,"IL",2010
"texas christian university","Private",14,"TX",2010
"university of miami","Private",6,"FL",2010
"university of colorado boulder","Public",12,"CO",2010
"harvey mudd college","Private",14,"CA",2010
"college of the holy cross","Private",6,"MA",2010
"colgate university","Private",15,"NY",2010
"creighton university","Private",5,"NE",2010
"colorado school of mines","Public",7,"CO",2010
"northeastern university","Private",13,"MA",2010
"clemson university","Public",9,"SC",2010
"rosehulman institute of technology","Private",3,"IN",2010
"skidmore college","Private",7,"NY",2010
"duke university","Private",11,"NC",2010
"villanova university","Private",13,"PA",2010
"university of notre dame","Private",12,"IN",2010
"boston college","Private",8,"MA",2010
"brigham young university","Private",8,"UT",2010
"reed college","Private",4,"OR",2010
"furman university","Private",6,"SC",2010
"yeshiva university","Private",2,"NY",2010
"william mary","Public",12,"VA",2010
"tufts university","Private",12,"MA",2010
"auburn university","Public",8,"AK",2010
"california institute of technology","Private",11,"CA",2010
"kenyon college","Private",10,"OH",2010
"washington and lee university","Private",9,"VA",2010
"lafayette college","Private",12,"PA",2010
"bucknell university","Private",9,"PA",2010
"worcester polytechnic institute","Private",5,"MA",2010
"loyola marymount university","Private",2,"CA",2010
"wake forest university","Private",6,"NC",2010
"scripps college","Private",3,"CA",2010
"santa clara university","Private",2,"CA",2010
"southern methodist university","Private",3,"TX",2010
"elon university","Private",8,"NC",2010
"bates college","Private",3,"ME",2010
"oberlin college","Private",6,"OH",2010
"fairfield university","Private",-4,"CT",2010
"berea college","Private",95,"KY",2010
"cuny baruch college","Public",61,"NY",2010
"college of mount st vincent","Private",47,"NY",2010
"university of new mexico","Public",46,"NM",2010
"university of california irvine","Public",40,"CA",2010
"university of montana","Public",26,"MT",2010
"university of california davis","Public",21,"CA",2010
"cooper union","Private",45,"NY",2010
"louisiana state university","Public",38,"LA",2010
"university of nevada reno","Public",29,"NV",2010
"university of texas austin","Public",30,"TX",2010
"hobart and william smith colleges","Private",39,"NY",2010
"university of california santa barbara","Public",22,"CA",2010
"rutgers university","Public",23,"NJ",2010
"university of nebraska lincoln","Public",28,"NE",2010
"franklin marshall college","Private",37,"PA",2010
"university of california berkeley","Public",23,"CA",2010
"university of alabama huntsville","Public",14,"AK",2010
"university of california san diego","Public",1,"CA",2010
"university of texas dallas","Public",22,"TX",2010
"college of wooster","Private",27,"OH",2010
"university of hawaii manoa","Public",18,"HI",2010
"university of oklahoma","Public",22,"OK",2010
"university of tennessee","Public",17,"TN",2010
"university of california los angeles","Public",12,"CA",2010
"columbia university","Private",24,"NY",2010
"university of missouri","Public",20,"MO",2010
"university of new hampshire","Public",18,"NH",2010
"university of north carolina chapel hill","Public",22,"NC",2010
"texas am university","Public",17,"TX",2010
"university of massachusetts amherst","Public",15,"MA",2010
"indiana university bloomington","Public",17,"IN",2010
"st louis university","Private",17,"MO",2010
"university of alabama","Public",17,"AK",2010
"university of south carolina","Public",17,"SC",2010
"university of the south","Private",22,"TN",2010
"college of new jersey","Public",19,"NJ",2010
"north carolina state university","Public",11,"NC",2010
"university of minnesota","Public",13,"MN",2010
"university of washington","Public",12,"WA",2010
"ohio state university","Public",14,"OH",2010
"university of pittsburgh","Public",18,"PA",2010
"university of wisconsin madison","Public",19,"WI",2010
"university of michigan","Public",17,"MI",2010
"virginia polytechnic institute","Public",17,"VA",2010
"university of maryland college park","Public",15,"MD",2010
"california polytechnic state university san luis obispo","Public",14,"CA",2010
"miami university","Public",10,"OH",2010
"olin college of engineering","Private",14,"MA",2010
"purdue university","Public",7,"IN",2010
"pennsylvania state university","Public",10,"PA",2010
"university of virginia","Public",13,"VA",2010
"georgia institute of technology","Public",7,"GA",2010
"tulane university","Private",3,"LA",2010
